Localidad;Tipo de propiedad;Direccion
ANTONIO NARIÑO;CENTRO;CL38ASUR#34D-51 MAYOR CENTRO COMERCIAL  Bogota Colombia
ANTONIO NARIÑO;CONJUNTO RESIDENCIAL;KR29#31B-23SUR CONJUNTO RESIDENCIAL EDUARDO FREI Bogota Colombia
ANTONIO NARIÑO;AGRUPACIÓN DE VIVIENDA;KR14A#11-14SUR AGRUPACION DE VIVIENDA LUNA PARK - AVILUPARK Bogota Colombia
ANTONIO NARIÑO;CONJUNTO MULTIFAMILIAR;KR24A#18-43SUR ALFONSO LOPEZ PUMAREJO SEGUNDA ETAPA  Bogota Colombia
ANTONIO NARIÑO;EDIFICIO RESIDENCIAL;KR24GSUR#16-15 CASA RESTREPO Bogota Colombia
ANTONIO NARIÑO;APARTAMENTOS;TV12SUR#16-49 LA AURORA Bogota Colombia
ANTONIO NARIÑO;APARTAMENTOS;CL15SUR#15-11 EDIFICIO CARMA PH Bogota Colombia
ANTONIO NARIÑO;EDIFICIO RESIDENCIAL;KR34FSUR#39B-25SUR ARBOLEDA DEL REY ETAPAS I II III Y IV PH Bogota Colombia
ANTONIO NARIÑO;EDIFICIO;CL14#10-80SUR EDIFICIO RINCON DE CIUDAD JARDIN Bogota Colombia
ANTONIO NARIÑO;EDIFICIO; KR11#15-43  SUR EL CARRIZAL Bogota Colombia
ANTONIO NARIÑO;EDIFICIO;CL29ASUR#29-03 ALTOS 29 Bogota Colombia
ANTONIO NARIÑO;AGRUPACIÓN DE VIVIENDA MULTIFAMILIAR;AK10#5-29SUR EDIFICIO LA FLORA  Bogota Colombia
ANTONIO NARIÑO;CONJUNTO RESIDENCIAL;CL13S#24D-86 CAMPIÃ±A DEL RESTREPO Bogota Colombia
ANTONIO NARIÑO;EDIFICIO;KR27#16-26SUR TOBON Bogota Colombia
ANTONIO NARIÑO;CONJUNTO RESIDENCIAL;CL12SUR#24C-30 RECODO DEL RESTREPO Bogota Colombia
ANTONIO NARIÑO;CONJUNTO MULTIFAMILIAR;DG15ASUR#12-37AD CIUDAD JARDIN SUR Bogota Colombia
ANTONIO NARIÑO;CENTRO COMERCIAL;KR18#15-15SUR EDIFICIO PASAJE COMERCIAL UNIVERSAL  Bogota Colombia
ANTONIO NARIÑO;EDIFICIO;KR10#19-53SUR TOLEDO Bogota Colombia
ANTONIO NARIÑO;EDIFICIO;KR34F#29A-41SUREDMILLENNIUMTOWER MILLENNIUM TOWER Bogota Colombia
ANTONIO NARIÑO;EDIFICIO;CL17SUR#16-91SURED CENTRO COMERCIAL RESTREPO PH Bogota Colombia
ANTONIO NARIÑO;EDIFICIO;CL13S#24H-78 EDIFICIO SANTA MARTHA II Bogota Colombia
ANTONIO NARIÑO;CENTRO COMERCIAL;AV1#30-09 ESQUINA COMERCIAL 1 DE MAYO Bogota Colombia
ANTONIO NARIÑO;EDIFICIO MULTIFAMILIAR RESIDENCIAL;KR24B#13-27SUR BALCONES DE LA VALVANERA Bogota Colombia
ANTONIO NARIÑO;EDIFICIO;KR29A#17-42SUR SORRENTO PH Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;CL70#14-05/11/15/19 MARIA HELENA Bogota Colombia
BARRIOS UNIDOS;CONJUNTO RESIDENCIAL;AC80#62-54 UNIDAD CINCO ENTRE RIOS Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;KR14A#71A-32 ACOSTA LOZANO  Bogota Colombia
BARRIOS UNIDOS;CONJUNTO RESIDENCIAL;CL64A#57-23 PARQUE CENTRAL SALITRE IV Bogota Colombia
