Localidad;Tipo de propiedad;Direccion
CHAPINERO;EDIFICIO;KR6A#51A-63 APARTAMENTOS GLARAMARA Bogota Colombia
CHAPINERO;EDIFICIO;CL40#8-92 RESIDENCIAS SAN MARCOS Bogota Colombia
CHAPINERO;EDIFICIO;KR8A#97-46 GALLERY SANTA CLARA  Bogota Colombia
CHAPINERO;EDIFICIO;KR23#93-65 ALERO 93  Bogota Colombia
CHAPINERO;EDIFICIO;KR19C#85-64 BQ85 Bogota Colombia
CHAPINERO;EDIFICIO RESIDENCIAL;KR9A#91-10 EDIFICIO CALLE 91 Bogota Colombia
CHAPINERO;EDIFICIO;CL91#13A-22 IMPERIAL Bogota Colombia
CHAPINERO;EDIFICIO;CL66#11-63 VILLAHERMOSA Bogota Colombia
CHAPINERO;EDIFICIO;TV5#43-14 MARCATONO Bogota Colombia
CHAPINERO;EDIFICIO;CL81#8-51 ALMERIA Bogota Colombia
CHAPINERO;EDIFICIO;KR13#49-95  ELEONORA Bogota Colombia
CHAPINERO;EDIFICIO;KR9#66-38 SILVANA Bogota Colombia
CHAPINERO;CONJUNTO RESIDENCIAL;KR24#150-06 CONJUNTO RESIDENCIAL CAPRI REAL PROPIEDAD HORIZONTAL Bogota Colombia
CHAPINERO;EDIFICIO;CL55#5-15 MAGALLANES Bogota Colombia
CHAPINERO;EDIFICIO;CL60#5-16 Camino de la Salle Bogota Colombia
CHAPINERO;EDIFICIO;TV23#96-35  SANT ANGELO  Bogota Colombia
CHAPINERO;EDIFICIO;CL73#11-12 ARTHA 73  Bogota Colombia
CHAPINERO;EDIFICIO;CL88#13-17 PALCO Bogota Colombia
CHAPINERO;EDIFICIO;KR78#04-10 TALLER 6 PH Bogota Colombia
CHAPINERO;EDIFICIO;CL90#13A-31 LORETO PROPIEDAD HORIZONTAL Bogota Colombia
CHAPINERO;CENTRO;KR15#77-05 DE ALTA TECNOLOGIA Bogota Colombia
CHAPINERO;EDIFICIO;TV5#43-52 MACONDO Bogota Colombia
CHAPINERO;EDIFICIO;CL51#5-46 SIRIUS  Bogota Colombia
CHAPINERO;EDIFICIO;KR4#81-28 BELMONTE IV Bogota Colombia
CHAPINERO;EDIFICIO;KR7A#84-15 TORRE CERVANTES Bogota Colombia
CHAPINERO;EDIFICIO;CL96#21-75 OPORTO CHICO Bogota Colombia
CHAPINERO;EDIFICIO;CL76#3-30 CALLE 76  Bogota Colombia
CHAPINERO;EDIFICIO;KR2A#70-31 CARRERA 2A Bogota Colombia
CHAPINERO;EDIFICIO;KR5#92-07 GALLERY ALTOS 92 Bogota Colombia
CHAPINERO;EDIFICIO;CL93#17-23 INFINITI Bogota Colombia
CHAPINERO;EDIFICIO;KR11#86-32 86 32 Bogota Colombia
CHAPINERO;EDIFICIO;CL71#6-11 LA CEIBA Bogota Colombia
CHAPINERO;EDIFICIO;TV23#97-54 AREA UNO Bogota Colombia
CHAPINERO;EDIFICIO;CL95#9-36 TORRE 95 Bogota Colombia
CHAPINERO;EDIFICIO;TV23#93-70 EL REFUGIO Bogota Colombia
CHAPINERO;CONJUNTO RESIDENCIAL;CL92#14-23 MASSILIA Bogota Colombia
CHAPINERO;EDIFICIO;CL93A#9A-29 CALICANTO Bogota Colombia
CHAPINERO;EDIFICIO;KR19#80-39 EL LAGO Bogota Colombia
CHAPINERO;EDIFICIO;CL91#13-12  ARBOLEDA DEL CHICO Bogota Colombia
CHAPINERO;EDIFICIO;CL93#11A-28 CAPITAL PARK 93 CENTRO EMPRESARIAL Bogota Colombia
CHAPINERO;EDIFICIO;KR7#71-21 AVENIDA CHILE Bogota Colombia
CHAPINERO;EDIFICIO;KR17#95-78 SANZ Bogota Colombia
CHAPINERO;EDIFICIO;CL97A#9A-34 DE OFICINAS SANTA CLARA Bogota Colombia
CHAPINERO;EDIFICIO;KR19#93-89 RITZ PLAZA 93 Bogota Colombia
CHAPINERO;EDIFICIO;CL87#12-79 BRITANNIA  Bogota Colombia
CHAPINERO;EDIFICIO;KR14#89-48 NOVANTA Bogota Colombia
CHAPINERO;EDIFICIO;CL42#4-50 ALCA Bogota Colombia
CHAPINERO;EDIFICIO;CL68#12-39 LA ESMERALDA Bogota Colombia
CHAPINERO;EDIFICIO;CL72#7-12 7 72 Bogota Colombia
CHAPINERO;EDIFICIO RESIDENCIAL;CL96#19-83 CASA CHICO Bogota Colombia
CHAPINERO;EDIFICIO;CL99#10-57 ECOTEK CALLE 99 Bogota Colombia
CHAPINERO;EDIFICIO;CL71#4-41 MARGONVIYA I Bogota Colombia
CHAPINERO;EDIFICIO;KR6#80A-21 SANJAKE  Bogota Colombia
CHAPINERO;CENTRO COMERCIAL;CL81#13-05  Y ENTRETENIMIENTO ATLANTIS PLAZA Bogota Colombia
CHAPINERO;EDIFICIO;CL65#5-01 LOMA DE LA CRUZ Bogota Colombia
CHAPINERO;EDIFICIO;KR10#94-30 MURAT 94 10 Bogota Colombia
CHAPINERO;EDIFICIO;CL97#22-09 CORREDOR HERNANDEZ IV Bogota Colombia
CHAPINERO;EDIFICIO;KR11A#93-94 EL PARQUE Bogota Colombia
CHAPINERO;EDIFICIO;CL70A#4-68  PARQUE DE EMAUS Bogota Colombia
CHAPINERO;EDIFICIO;CL95#10-51 CALLE 95 X 11 Bogota Colombia
CHAPINERO;EDIFICIO;TV21#95-63 PARQUE 96 Bogota Colombia
CHAPINERO;EDIFICIO;KR14#93-68 CORTEZZA CALLE 93 Bogota Colombia
CHAPINERO;EDIFICIO;KR8#48-38  NUEVA ERA Bogota Colombia
CHAPINERO;EDIFICIO;KR5#54-40 EMILIA II  Bogota Colombia
CHAPINERO;EDIFICIO;CL64A#2-09 LAURA CAROLINA Bogota Colombia
CHAPINERO;EDIFICIO;KR4#74-30 74 30 Bogota Colombia
CHAPINERO;EDIFICIO;CL42A#9-59 AINSUCA Bogota Colombia
CHAPINERO;EDIFICIO;KR5#72A-39 AGRUPACION DE VIVIENDA CENTRO RESIDENCIAL EL CASTILLO TORRE NO TRES PH Bogota Colombia
CHAPINERO;EDIFICIO;KR9#94-45 PARQUE 94 Bogota Colombia
CHAPINERO;EDIFICIO;KR19#88-27 VIRREY Bogota Colombia
CHAPINERO;EDIFICIO MULTIFAMILIAR RESIDENCIAL;CL70A#7-62 LUGANO  Bogota Colombia
CHAPINERO;EDIFICIO;TV19A#95-56 LARES 95 Bogota Colombia
CHAPINERO;EDIFICIO;CL46#7-38 MELIDA Bogota Colombia
CHAPINERO;EDIFICIO;KR16#95-26 NAPOLES CHICO Bogota Colombia
CHAPINERO;EDIFICIO;KR16#82-74 SAN SEBASTIAN DEL COUNTRY Bogota Colombia
CHAPINERO;EDIFICIO;CL58#6-31 MARIA PAULA Bogota Colombia
CHAPINERO;EDIFICIO;CL87#10-31 CABRERA 87 Bogota Colombia
CHAPINERO;EDIFICIO;KR13#51-25  OFICINAS GRUPO 7 TORRE 9 Bogota Colombia
CHAPINERO;EDIFICIO;CL94#9-09 FASCIA JRSR Bogota Colombia
CHAPINERO;EDIFICIO;CL40#8-08 CALLE CUARENTA  Bogota Colombia
CHAPINERO;EDIFICIO;CL91#8-68 MIRASIERRA Bogota Colombia
CHAPINERO;EDIFICIO;KR9#97-19 SOLARIUM 97 Bogota Colombia
CHAPINERO;EDIFICIO;KR13#64-13ED BANCO DE LA SABANA Bogota Colombia
CHAPINERO;EDIFICIO;KR7#80A-48 VIENA  Bogota Colombia
CHAPINERO;EDIFICIO;KR6#86-12 LAS TERRAZAS Bogota Colombia
CHAPINERO;EDIFICIO;CL85#7A-25  EL RETIRO Bogota Colombia
CHAPINERO;EDIFICIO;CL69A#9-42  CASA FILIPPO BRUNO  Bogota Colombia
CHAPINERO;EDIFICIO;CL93B#9-28 OASIS DEL MUSEO Bogota Colombia
CHAPINERO;EDIFICIO;KR3#93-62 CHICO ORIENTAL II Bogota Colombia
CHAPINERO;EDIFICIO;KR5A#81-15 CANCILLER Bogota Colombia
CHAPINERO;EDIFICIO;CL75#4-28 MIRAMAR Bogota Colombia
CHAPINERO;EDIFICIO;KR9A#83-15 CERVANTES PROPIEDAD HORIZONTAL Bogota Colombia
CHAPINERO;EDIFICIO;KR6#86-20 CERES Bogota Colombia
CHAPINERO;EDIFICIO;KR3#77-65 GUAYACAN PROPIEDAD HORIZONTAL Bogota Colombia
CHAPINERO;EDIFICIO;CL92#11A-56 SIENA Bogota Colombia
CHAPINERO;EDIFICIO;TV4#52B-35 ZAYVAL IV Bogota Colombia
CHAPINERO;EDIFICIO;CL94A#21-65 EL ARRAYAN Bogota Colombia
CHAPINERO;CONJUNTO RESIDENCIAL;KR7#73-42 CASTILLO CAMACHO TORRE 1  Bogota Colombia
CHAPINERO;EDIFICIO;KR7#79-22 SANTA MARIA Bogota Colombia
CHAPINERO;EDIFICIO;KR4#46-10 LOS PINOS Bogota Colombia
CHAPINERO;CENTRO COMERCIAL;KR11#82-01 Y DE NEGOCIOS ANDINO Bogota Colombia
CHAPINERO;EDIFICIO;CL65#1A-26 TORREALTA Bogota Colombia
CHAPINERO;EDIFICIO;TV4#43-85 CATALUÃ±A Bogota Colombia
CHAPINERO;EDIFICIO;CL86A#19B-26 KUBIK VIRREY CUATRO Bogota Colombia
CHAPINERO;EDIFICIO;KR9A#63-18 LOURDES 63 Bogota Colombia
CHAPINERO;EDIFICIO;KR5#60-49 GAMMA DOS Bogota Colombia
CHAPINERO;EDIFICIO;CL41A#7A-79 MULTIFAMILIAR LILIANA Bogota Colombia
CHAPINERO;CONJUNTO RESIDENCIAL;CL78#10-38 RINCON COLONIAL Bogota Colombia
CHAPINERO;EDIFICIO;KR4#74-52 CALLE 74 Bogota Colombia
CHAPINERO;EDIFICIO;KR9Bis#97-33 97 IN Bogota Colombia
CHAPINERO;CONJUNTO;KR5#86-3040  USO RESIDENCIAL BOSQUE EL REFUGIO  Bogota Colombia
CHAPINERO;EDIFICIO;CL94#9-51 PLAZA DE LA FUENTE 94 Bogota Colombia
CHAPINERO;EDIFICIO;CL70A#6-60 QUINTA MINERVA Bogota Colombia
CHAPINERO;EDIFICIO;TV1#83-83/75 VERONA Bogota Colombia
CHAPINERO;EDIFICIO;KR8#95-61 PORTAL DEL PARQUE 96 Bogota Colombia
CHAPINERO;EDIFICIO MULTIFAMILIAR RESIDENCIAL;KR1ESTE#70A-70 EDIFICIO 70 A 70 Bogota Colombia
CHAPINERO;EDIFICIO MULTIFAMILIAR;CL78#12-29 MACLER Bogota Colombia
CHAPINERO;EDIFICIO;KR10#90-39 PLAZA 91 Bogota Colombia
CHAPINERO;EDIFICIO;CL52#13-64 UNICAMPUS Bogota Colombia
CHAPINERO;EDIFICIO;CL76#9-26 LA SELVA Bogota Colombia
CHAPINERO;EDIFICIO;CL99#13-08 MEGATOWER CONJUNTO EMPRESARIAL Bogota Colombia
CHAPINERO;EDIFICIO;KR5#71-45 LA STRADA Bogota Colombia
CHAPINERO;EDIFICIO;CL42SUR#27-39ED EDIFICIO ELIESOS PH Bogota Colombia
CHAPINERO;EDIFICIO;CL68#1-14ESTE LOMALINDA Bogota Colombia
CHAPINERO;EDIFICIO;CL93#19-66 CONSUTORIOS 9319  Bogota Colombia
CHAPINERO;EDIFICIO;CL59Bis#8-57 LA TORRE DEL PARQUE  Bogota Colombia
CHAPINERO;CONJUNTO RESIDENCIAL;CL79B#4-26 SERRANIA DE LOS NOGALES Bogota Colombia
CHAPINERO;EDIFICIO;KR11#96-27 BELLO HORIZONTE Bogota Colombia
CHAPINERO;EDIFICIO;CL79B#5-80 TAMARINDO Bogota Colombia
CHAPINERO;EDIFICIO;KR10#54-13  SAN DIEGO CALLE 54 Bogota Colombia
CHAPINERO;EDIFICIO;CL62#4-35 MAVA 462 Bogota Colombia
CHAPINERO;EDIFICIO;CL89#13A-57 CALLE 89 PH Bogota Colombia
CHAPINERO;EDIFICIO;CL72#6-44 APA PROPIEDAD HORIZONTAL Bogota Colombia
CHAPINERO;EDIFICIO;CL94A#21-90 MADEIRA PROPIEDAD HORIZONTAL Bogota Colombia
CHAPINERO;EDIFICIO;CL45#13-41  GRAN AVENIDA Bogota Colombia
CHAPINERO;EDIFICIO;CL81A#8-43 CAMPO REAL  PROPIEDAD HORIZONTAL Bogota Colombia
CHAPINERO;EDIFICIO;CL79#9-77 SUSATA Bogota Colombia
CHAPINERO;EDIFICIO;CL93B#13-30 CENTRO EMPRESARIAL II Bogota Colombia
CHAPINERO;EDIFICIO;KR4#67-48 NATALIA PROPIEDAD HORIZONTAL Bogota Colombia
CHAPINERO;EDIFICIO;KR5#78-27 LOS CERROS Bogota Colombia
CHAPINERO;EDIFICIO;KR9#61-16 LA FRONTERA Bogota Colombia
CHAPINERO;EDIFICIO;KR19#90-47  VALDEPEÑAS Bogota Colombia
CHAPINERO;EDIFICIO;KR3A#91-10 DAKOTA Bogota Colombia
CHAPINERO;EDIFICIO;KR7#65-74 EL PASEO Bogota Colombia
CHAPINERO;EDIFICIO;KR19A#86A-70 VIRREY DEL COUNTRY Bogota Colombia
CHAPINERO;EDIFICIO;KR14#89-25 JEMAR 4 Bogota Colombia
CHAPINERO;EDIFICIO RESIDENCIAL;KR7#40-73 GONZALEZ TORRES Bogota Colombia
CHAPINERO;EDIFICIO;CL61#9A-39 OPTIMUS APARTMENTS Bogota Colombia
CHAPINERO;CENTRO COMERCIAL;CL85#11-18  RUEDA OSORIO Bogota Colombia
CHAPINERO;EDIFICIO;KR19B#85-63 DC Bogota Colombia
CHAPINERO;APARTAMENTOS;TV1A#58-21 ALEJANDRIA Bogota Colombia
CHAPINERO;EDIFICIO;KR11B#97-56  APICE 97 Bogota Colombia
CHAPINERO;EDIFICIO;KR7#46-20  LAS TORRES DEL ESTE Bogota Colombia
CHAPINERO;EDIFICIO;KR7#51A-38 CONTRUSOR Bogota Colombia
CHAPINERO;EDIFICIO;KR7#73-45 ION73 Bogota Colombia
CHAPINERO;EDIFICIO;KR23#94A-44 LUTECIA Bogota Colombia
CHAPINERO;EDIFICIO;CL99#9A-92 TORRE HEIGHTS 99 Bogota Colombia
CHAPINERO;propiedad;KR4A#54-27 OLIVAR DE CHAPINERO Bogota Colombia
CHAPINERO;EDIFICIO;CL90#9-32 OCAL 90 Bogota Colombia
CHAPINERO;EDIFICIO;CL97#19A-33 OQYANA Bogota Colombia
CHAPINERO;MULTIFAMILIAR;KR4#66-55 TORRES DE KAYANDU Bogota Colombia
CHAPINERO;EDIFICIO;KR15#98-26 CARRERA 15 NÃÂº 98 - 26 Bogota Colombia
CHAPINERO;EDIFICIO;KR19#86A-76 VICEROY PARK Bogota Colombia
CHAPINERO;EDIFICIO;CL89#9A-58 CALLE 89 Bogota Colombia
CHAPINERO;EDIFICIO;KR13#57-28 CHAPINERO 57 Bogota Colombia
CHAPINERO;EDIFICIO;KR12#79-60 SANZA Bogota Colombia
CHAPINERO;EDIFICIO;CL95#14-09 TIMES Bogota Colombia
CHAPINERO;EDIFICIO;KR11#93-92 OFICINAS 93 A Bogota Colombia
CHAPINERO;APARTAMENTOS;CL71#2A-39 EDIFICIO EL CEDRAL PH  Bogota Colombia
CHAPINERO;EDIFICIO;CL97A#7A-10 TERRA BELLA APARTAMENTOS Bogota Colombia
CHAPINERO;EDIFICIO;CL86#8-55 AVENIDA 86 Bogota Colombia
CHAPINERO;EDIFICIO;KR19B#85-37 CHARLOTTE Bogota Colombia
CHAPINERO;EDIFICIO;KR14#41-44 CALIMA Bogota Colombia
CHAPINERO;EDIFICIO;CL77#1-15ESTE CALLE 77 Bogota Colombia
CHAPINERO;EDIFICIO;CL78#7-98 ALAMEDA PROPIEDAD HORIZONTAL Bogota Colombia
CHAPINERO;EDIFICIO;CL41#8-30 OLIMPO 41  Bogota Colombia
CHAPINERO;EDIFICIO;CL94A#21-41 NAIA Bogota Colombia
CHAPINERO;EDIFICIO;CL86#7-27 CALLE 86 Bogota Colombia
CHAPINERO;EDIFICIO;KR4#71-61 CERROS II Bogota Colombia
CHAPINERO;EDIFICIO;KR19#89-16 PALAFITO Bogota Colombia
CHAPINERO;EDIFICIO;KR1ESTE#70-57 PALO GRANDE Bogota Colombia
CHAPINERO;EDIFICIO;KR13#44-34 CENTRIKA Bogota Colombia
CHAPINERO;EDIFICIO;CL59#8-21 TUNDANA Bogota Colombia
CHAPINERO;EDIFICIO;CL73#0-51ESTE ROSALES Bogota Colombia
CHAPINERO;EDIFICIO;CL57#6-38 TORRE 57 Bogota Colombia
CHAPINERO;EDIFICIO;KR4#54-34 CONDOR Bogota Colombia
CHAPINERO;EDIFICIO;KR5#86A-45 ATTIKO RESERVADO Bogota Colombia
CHAPINERO;EDIFICIO;KR19C#86-30 DINAMARCA Bogota Colombia
CHAPINERO;EDIFICIO;CL94A#7A-36 CHICO ALTO  Bogota Colombia
CHAPINERO;EDIFICIO;KR3#74A-50 MONTEFERRATO Bogota Colombia
CHAPINERO;EDIFICIO;CL78#8-51 CRISTAL  Bogota Colombia
CHAPINERO;EDIFICIO;TV1ESTE#57-76 ALTOS DEL CASTILLO Bogota Colombia
CHAPINERO;EDIFICIO;TV19A#97-59 BOSQUE DE MAGNOLIO Bogota Colombia
CHAPINERO;propiedad;KR4A#65-61 MULTIFAMILIARES GRANADA Bogota Colombia
CHAPINERO;EDIFICIO;KR13#48-26 CENTRO EMPRESARIAL ELITE Bogota Colombia
CHAPINERO;EDIFICIO;CL64#2-44 MODENA 64  Bogota Colombia
CHAPINERO;EDIFICIO;TV1#55A-36 ALTOS DE TRIANA Bogota Colombia
CHAPINERO;CONJUNTO RESIDENCIAL;KR7#52-23 PUNTO 52  Bogota Colombia
CHAPINERO;EDIFICIO;KR11B#96-54 AREA 97 Bogota Colombia
CHAPINERO;EDIFICIO;CL51#5-27 LONDON HOUSE Bogota Colombia
CHAPINERO;EDIFICIO;CL49#6-47 LAS CAROLINAS Bogota Colombia
CHAPINERO;EDIFICIO;KR11A#93-93 PEGASUS Bogota Colombia
CHAPINERO;EDIFICIO;CL94#11-29 CASA IMPERIAL Bogota Colombia
CHAPINERO;EDIFICIO;KR13#93-12 EJECUTIVO PLAZA Bogota Colombia
CHAPINERO;EDIFICIO;CL75#13-01   ESCUADRA   Bogota Colombia
CHAPINERO;EDIFICIO RESIDENCIAL;KR1ESTE#77-68 ALTOS DE ROSALES Bogota Colombia
CHAPINERO;EDIFICIO;CL41A#8-25 BULEVAR 42 Bogota Colombia
CHAPINERO;EDIFICIO;KR1ESTE#77-21 ICONO 77 Bogota Colombia
CHAPINERO;CONJUNTO RESIDENCIAL;TV1#83-35 ALTOS DEL RETIRO Bogota Colombia
CHAPINERO;EDIFICIO;CL74#15-80 OSAKA TRADE CENTER Bogota Colombia
CHAPINERO;EDIFICIO;KR10#96-25  CENTRO EJECUTIVO Bogota Colombia
CHAPINERO;EDIFICIO;KR13#66-09 TEKTO LAS FLORES Bogota Colombia
CHAPINERO;EDIFICIO;CL84#18-38 PARQUE 84 PROPIEDAD HORIZONTAL Bogota Colombia
CHAPINERO;EDIFICIO;CL95#9-43 DOMUS 95 Bogota Colombia
CHAPINERO;EDIFICIO;CL92#16-68 AVENIDA 92 Bogota Colombia
CHAPINERO;EDIFICIO;KR11#95-75 BELLAVISTA Bogota Colombia
CHAPINERO;EDIFICIO;KR8#48-70 MIRADOR DE MARLY Bogota Colombia
CHAPINERO;EDIFICIO;KR11#94-47 MONTECARLO Bogota Colombia
CHAPINERO;EDIFICIO;KR21#90-14 UNIDAD DE ESPECIALISTAS CALLE 90 Bogota Colombia
CHAPINERO;EDIFICIO;CL93A#9-31 APOSENTOS Bogota Colombia
CHAPINERO;EDIFICIO;CL84C#8-48  OCTAVA APARTAMENTOS Bogota Colombia
CHAPINERO;EDIFICIO;CL70#1-28ESTE SIENNA Bogota Colombia
CHAPINERO;EDIFICIO;CL53#4A-26 53 Bogota Colombia
CHAPINERO;EDIFICIO;TV5#43-96 RINCON DEL CERRO Bogota Colombia
CHAPINERO;EDIFICIO;CL94A#9-62 RECODO DEL MUSEO Bogota Colombia
CHAPINERO;EDIFICIO;CL50#8-24 CONSULTORIOS 50 Bogota Colombia
CHAPINERO;EDIFICIO;KR9#60-57 IDANIKA Bogota Colombia
CHAPINERO;EDIFICIO;CL63#10-61 LOURDES CENTER CHAPINERO Bogota Colombia
CHAPINERO;EDIFICIO;AV100#9A-95 COMBEIMA  Bogota Colombia
CHAPINERO;EDIFICIO;KR9A#99-02 CITIBANK Bogota Colombia
CHAPINERO;EDIFICIO;CL69#9-73 HACARITAMA Bogota Colombia
CHAPINERO;EDIFICIO;CL100#11A-35 AHORRAMAS Bogota Colombia
CHAPINERO;EDIFICIO;CL64#3B-52 CAMINOS DEL CERRO 2 Bogota Colombia
CHAPINERO;EDIFICIO;CL61#3A-43 ALTAMIRA Bogota Colombia
CHAPINERO;UNIDAD RESIDENCIAL;KR2A#66-52 NUEVA GRANADA Bogota Colombia
CHAPINERO;EDIFICIO;KR7#74-09 DELOITTE Bogota Colombia
CHAPINERO;EDIFICIO;CL94A#21-16 PORTINO Bogota Colombia
CHAPINERO;EDIFICIO;KR13A#91-44 TORRE LA PIAZZETTA Bogota Colombia
CHAPINERO;EDIFICIO;DG91#4B-35 LAS TERRAZAS Bogota Colombia
CHAPINERO;EDIFICIO;KR13#63-39  SEGUROS BOLIVAR CHAPINERO Bogota Colombia
CHAPINERO;EDIFICIO;CL96#19A-45 PARK 96 Bogota Colombia
CHAPINERO;EDIFICIO;KR10#91-20 LOS ROBLES TORRE A Bogota Colombia
CHAPINERO;EDIFICIO;KR10#91-10 LOS ROBLES TORRE B Bogota Colombia
CHAPINERO;EDIFICIO;CL61#2-46 EL PEDRAL Bogota Colombia
CHAPINERO;EDIFICIO;KR7#60-65 TORRE DE LA 61 Bogota Colombia
CHAPINERO;EDIFICIO;CL87#11A-64 CALLE 87 Bogota Colombia
CHAPINERO;EDIFICIO;AC72#6-30 FERNANDO MAZUERA Y CIA Bogota Colombia
CHAPINERO;EDIFICIO;KR18#82-39 CENTRO DE DIAGNOSTICO DEL COUNTRY Bogota Colombia
CHAPINERO;EDIFICIO;KR17#89-17 ARTA Bogota Colombia
CHAPINERO;EDIFICIO;CL59#3A-30 BRISAS DE ORIENTE Bogota Colombia
CHAPINERO;EDIFICIO;KR16A#85-15 CRUZ CALLE 85 Bogota Colombia
CHAPINERO;EDIFICIO MULTIFAMILIAR;KR13#74-35  EL LAGO  Bogota Colombia
CHAPINERO;EDIFICIO MULTIFAMILIAR;CL72#13-38 EL DORADO  Bogota Colombia
CHAPINERO;EDIFICIO;KR16A#85-37 ECO DEL NEVADO Bogota Colombia
CHAPINERO;EDIFICIO;KR8A#95-33 E CON Bogota Colombia
CHAPINERO;EDIFICIO;KR16#85-66 CAMINO DE SANTA RITA Bogota Colombia
CHAPINERO;EDIFICIO;CL94#16-36 CENTENARIO  Bogota Colombia
CHAPINERO;EDIFICIO;CL61#3B-46 BALCONES DE ALTALOMA III Bogota Colombia
CHAPINERO;EDIFICIO;KR2ESTE#70A-47 TORRE DE AVILA Bogota Colombia
CHAPINERO;EDIFICIO;KR16#96-14 AVANTI 96 Bogota Colombia
CHAPINERO;EDIFICIO;CL61#5-72 CALLE 61 Bogota Colombia
CHAPINERO;EDIFICIO;AV13#88-10 IPANEMA 88 Bogota Colombia
CHAPINERO;EDIFICIO;TV4#51A-34  MIRADOR DE CHAPINERO Bogota Colombia
CHAPINERO;EDIFICIO;KR15#93-75 BANCO GANADERO CHICO 93 Bogota Colombia
CHAPINERO;EDIFICIO;CL53#4-38 ANTUMALAL Bogota Colombia
CHAPINERO;EDIFICIO;KR18#94-17 TORRE 94 Bogota Colombia
CHAPINERO;CENTRO COMERCIAL;KR15#95-34 CHICO CENTRO Bogota Colombia
CHAPINERO;EDIFICIO;CL60A#5-54 PROFESIONALES LA SALLE  Bogota Colombia
CHAPINERO;EDIFICIO;TV1A#69-54ED EL RINCON DE LOS CERROS Bogota Colombia
CHAPINERO;EDIFICIO;KR19A#86A-42 DALUCA Bogota Colombia
CHAPINERO;EDIFICIO;KR18#85-70 ATANATOS I Bogota Colombia
CHAPINERO;EDIFICIO;CL92#18-98 CALLE 92 PROPIEDAD HORIZONTAL Bogota Colombia
CHAPINERO;EDIFICIO;CL90#10-05 NEOS Bogota Colombia
CHAPINERO;EDIFICIO;CL88#11-20 ARCADUZ Bogota Colombia
CHAPINERO;EDIFICIO;CL69#7-21 LIAN Bogota Colombia
CHAPINERO;EDIFICIO;KR9#73-24 GALA Bogota Colombia
CHAPINERO;EDIFICIO;KR18#86A-40AD BASIKA 86 Bogota Colombia
CHAPINERO;EDIFICIO;KR16#79-39 DIMENSION 16 Bogota Colombia
CHAPINERO;EDIFICIO;CL61#3B-66 BALCONES DE ALTALOMA Bogota Colombia
CHAPINERO;EDIFICIO;CL100#19-61  CENTRO EMPRESARIAL CIEN Bogota Colombia
CHAPINERO;EDIFICIO;CL96#9A-08 XIAN Bogota Colombia
CHAPINERO;EDIFICIO;CL47#9-13 RESIDENCIAS BACATA  Bogota Colombia
CHAPINERO;EDIFICIO;TV1A#69-10 TERRAZAS DEL ROSAL Bogota Colombia
CHAPINERO;EDIFICIO;KR11A#93-35 TORRE UNO 93 Bogota Colombia
CHAPINERO;EDIFICIO;KR11#93-46 TORRE SURAMERICANA Bogota Colombia
CHAPINERO;EDIFICIO;KR19A#90-13 90 Bogota Colombia
CHAPINERO;EDIFICIO;CL92#11-51 CHICO 92 11  Bogota Colombia
CHAPINERO;EDIFICIO;KR23#93-77 TIARA Bogota Colombia
CHAPINERO;EDIFICIO;KR11#81-12 EL PARQUE Bogota Colombia
CHAPINERO;EDIFICIO;KR5#48-64 ANDES IV Bogota Colombia
CHAPINERO;EDIFICIO;AC100#14-83 ANACAPRI Bogota Colombia
CHAPINERO;EDIFICIO;CL100#9A-39 100 STREET Bogota Colombia
CHAPINERO;EDIFICIO;CL70#7-60 LOS MONTEROS Bogota Colombia
CHAPINERO;EDIFICIO;CL67#8-10 OSPINA ORTIZ PROPIEDAD HORIZONTAL Bogota Colombia
CHAPINERO;EDIFICIO;KR1ESTE#74-75AD FIORANO Bogota Colombia
CHAPINERO;EDIFICIO;KR19A#88-14 LE PARC Bogota Colombia
CHAPINERO;EDIFICIO;TV4#43-39 BERNINA Bogota Colombia
CHAPINERO;EDIFICIO;KR13#60-29 MINICENTRO Bogota Colombia
CHAPINERO;EDIFICIO;KR10#97A-13 BOGOTA TRADE CENTER TORRE A Y TORRE B Bogota Colombia
CHAPINERO;EDIFICIO;CL73#7-78 CALLE 73 Bogota Colombia
CHAPINERO;EDIFICIO;CL73#7-60 CALLE 73 SEGUNDA ETAPA Bogota Colombia
CHAPINERO;EDIFICIO;CL79#14-33 OXFORD BUREAU 79 Bogota Colombia
CHAPINERO;EDIFICIO;TV5#42-42 LA QUINTA Bogota Colombia
CHAPINERO;EDIFICIO;KR16A#78-11 OIKOS DEL LAGO II Bogota Colombia
CHAPINERO;EDIFICIO;CL98#19A-45 TRENTO Bogota Colombia
CHAPINERO;EDIFICIO;CL64#5-30 ALTOS DEL BOSQUE III Bogota Colombia
CHAPINERO;EDIFICIO;KR9A#92-16 NUEVE 92 Bogota Colombia
CHAPINERO;EDIFICIO;KR7#53-48 BALCONES DE LA SEPTIMA Bogota Colombia
CHAPINERO;EDIFICIO;CL60#9-83 CENTRO COMERCIAL AQUARIUM Bogota Colombia
CHAPINERO;EDIFICIO;CL81#20-06 RESERVA DEL COUNTRY Bogota Colombia
CHAPINERO;EDIFICIO;KR18#86-19 ESQUINA REPUBLICA Bogota Colombia
CHAPINERO;EDIFICIO;KR8#45-76 REFUGIO DE MARLY Bogota Colombia
CHAPINERO;CENTRO COMERCIAL;KR13#59-38 PLAZA SHOPPING 59 Bogota Colombia
