Localidad,Tipo de propiedad,Direccion,latitud,longitud
CIUDAD BOLIVAR,CONJUNTO RESIDENCIAL,KR37#68C-61SUR ATACAMA APARTAMENTOS PH VIS Bogota Colombia,4.710988599999999,-74.072092
CIUDAD BOLIVAR,CONJUNTO RESIDENCIAL,AC68SUR#70D-71 PARQUE CENTRAL BONAVISTA 2 Bogota Colombia,4.58788,-74.16205839999999
CIUDAD BOLIVAR,CENTRO COMERCIAL,KR80#57X-46SUR METRO SUR Bogota Colombia,4.613644499999999,-74.1353335
CIUDAD BOLIVAR,CONJUNTO RESIDENCIAL,TV60#59-24SUR ALTOS DE MADELENA Bogota Colombia,4.5833664,-74.1550446
CIUDAD BOLIVAR,CONJUNTO RESIDENCIAL,KR71#69C-85SURADADAD CONJUNTO RESIDENCIAL CASA GRANDE MANZANA UNO  Bogota Colombia,4.710988599999999,-74.072092
CIUDAD BOLIVAR,COPROPIEDAD,CL59SUR#62A-84 CONJUNTO RESIDENSIAL PIMIENTOS DE MADELENA Bogota Colombia,4.5852184,-74.1540573
CIUDAD BOLIVAR,CONJUNTO RESIDENCIAL,TV65#59-16SUR ARBOLEDA DE SANTA CLARA  Bogota Colombia,4.586043699999999,-74.15518010000001
CIUDAD BOLIVAR,CONJUNTO RESIDENCIAL,KR73#57R-15SURCJADAD BOSQUES DEL PORTAL ETAPA I Y II  Bogota Colombia,4.5949835,-74.16913439999999
CIUDAD BOLIVAR,CONJUNTO RESIDENCIAL,CL66ASUR#66-81 BOSQUES DE SAN JOSE Bogota Colombia,4.5874219,-74.1561431
CIUDAD BOLIVAR,EDIFICIO,KR65B#57T-92SUR MADELENA16 Bogota Colombia,4.5084772,-74.1188675
CIUDAD BOLIVAR,CONJUNTO RESIDENCIAL,KR68C#65-60SURCJ MADELENA 8 Bogota Colombia,4.593036,-74.156967
CIUDAD BOLIVAR,CONJUNTO CERRADO,TV70C#68-33SUR RINCON CANDELARIA LA NUEVA Bogota Colombia,4.584771,-74.1603504
CIUDAD BOLIVAR,EDIFICIO,KR64A#57T-67SUR MADELENA 25 Bogota Colombia,4.5948816,-74.155442
CIUDAD BOLIVAR,CONJUNTO RESIDENCIAL,DG68DSUR#70C-31 LOS CONDOMINIOS I DEL ENSUENO Bogota Colombia,4.5822363,-74.15675449999999
CIUDAD BOLIVAR,URBANIZACIÓN,CL60ASUR#44-11 ARBORIZADORA BAJA MANZANA 54 Bogota Colombia,4.5733337,-74.152271
CIUDAD BOLIVAR,CONJUNTO RESIDENCIAL,DG61SUR#20A-30 CONJUNTO RESIDENCIAL TUNAL CENTRAL SUPER LOTE 5 PH Bogota Colombia,4.565001,-74.14239710000001
CIUDAD BOLIVAR,EDIFICIO,CL64ASUR#73-27 PERDOMO Bogota Colombia,4.585985,-74.169039
CIUDAD BOLIVAR,CONJUNTO RESIDENCIAL,KR67#65-22SUR CAMINO DE SAN JORGE Bogota Colombia,4.58833,-74.157043
CIUDAD BOLIVAR,CONJUNTO MULTIFAMILIAR,KR71#58A-60SUR NUEVO BALMORAL Bogota Colombia,4.5936879,-74.1637823
CIUDAD BOLIVAR,CONJUNTO RESIDENCIAL,TV49#59C-73SUR CANDELARIA LA  NUEVA LOTE 9 MANZANA UNICA Bogota Colombia,4.5781538,-74.1550188
CIUDAD BOLIVAR,EDIFICIO,KR64Bis#57T-67SUR  MADELENA 27 Bogota Colombia,4.5954064,-74.1550749
CIUDAD BOLIVAR,URBANIZACIÓN,KR49B#58G-05SUR ATLANTA II ETAPA I SECTOR Bogota Colombia,4.710988599999999,-74.072092
CIUDAD BOLIVAR,PARQUE RESIDENCIAL,TV70#67B-80SUR EL PARAISO Bogota Colombia,4.5842257,-74.1589162
CIUDAD BOLIVAR,CONJUNTO RESIDENCIAL,CL60SUR#22A-13 CASALINDA DEL TUNAL UNIDAD 4 Bogota Colombia,4.568897,-74.144539
CIUDAD BOLIVAR,CONJUNTO RESIDENCIAL,TV70G#63-52  PARQUE CENTRAL BONAVISTA ETAPA I  Bogota Colombia,4.588407999999999,-74.1631273
CIUDAD BOLIVAR,CONJUNTO RESIDENCIAL,CL57ZSUR#75D-10SUR CONJUNTO CIPRES DE LA LLANADA 3 PH Bogota Colombia,4.63039,-74.189829
CIUDAD BOLIVAR,CONJUNTO RESIDENCIAL,CL60SUR#22A-13 CASA LINDA DEL TUNAL UNIDAD 4 Bogota Colombia,4.5692251,-74.1450277
CIUDAD BOLIVAR,CONJUNTO RESIDENCIAL,KR71G#62C-37SUR LA VALVANERA MANZANA 77 Bogota Colombia,4.589385,-74.165758
CIUDAD BOLIVAR,EDIFICIO,KR64A#57T-29SUR MADELENA 23 Bogota Colombia,4.5948816,-74.155442
CIUDAD BOLIVAR,EDIFICIO MULTIFAMILIAR,CL59SUR#66-54 MANZANA 94 LOTE 2 URBANIZACION MADELENA Bogota Colombia,4.5938308,-74.1564885
CIUDAD BOLIVAR,CONJUNTO RESIDENCIAL,TV63#68B-24SUR CASA GRANDE MANZANA 3 SUPERLOTE 2 Bogota Colombia,4.5813274,-74.1592383
CIUDAD BOLIVAR,CONJUNTO RESIDENCIAL,CL68FSUR#50A-68 CAMINO DE LOS ROBLES Bogota Colombia,4.5793914,-74.16002739999999
CIUDAD BOLIVAR,EDIFICIO MULTIFAMILIAR,KR64A#57T-92SUR MADELENA LOTE UNO MANZANA CINCUENTA Y UNO SECTOR DOS Bogota Colombia,4.5925382,-74.1577599
CIUDAD BOLIVAR,EDIFICIO,CL62ASUR#67-63 UNO NUEVA MADELENA Bogota Colombia,4.589754999999999,-74.1575744
CIUDAD BOLIVAR,CONJUNTO RESIDENCIAL,CL59SUR#60-19 BOSQUES DE SAN PATRICIO Bogota Colombia,4.5840223,-74.1543353
CIUDAD BOLIVAR,EDIFICIO,CL58SUR#66A-39 MULTIFAMILIAR MADELENA LOTE 3 MANZANA 95 SECTOR 1 Bogota Colombia,4.5944676,-74.1574158
CIUDAD BOLIVAR,CONJUNTO RESIDENCIAL,AC61SUR#20B-60 TUNAL CENTRAL SUPERLOTE UNO Bogota Colombia,4.565001,-74.14239710000001
CIUDAD BOLIVAR,propiedad,CL60ASUR#73-40 BILBAO APARTAMENTOS Bogota Colombia,4.5917405,-74.169541
CIUDAD BOLIVAR,CONJUNTO RESIDENCIAL CERRADO,KR69C#68B-55SUR COONJUNTO RESIDENCIAL CASA GRANDE MANZANA 8 Bogota Colombia,4.675662,-74.09369
ENGATIVÁ,AGRUPACIÓN,KR120A#77B-24 LOTES RESERVA DE GRANADA Bogota Colombia,4.722657799999999,-74.1311801
ENGATIVÁ,EDIFICIO MULTIFAMILIAR,KR74#48-06 EDIFICIO BALCONES DE NORMANDIA PH Bogota Colombia,4.6773109,-74.1074278
ENGATIVÁ,COPROPIEDAD,TV93#51-98BG4 Edificio Prana 26 Centro empresaria Bogota Colombia,4.6861225,-74.1214791
ENGATIVÁ,EDIFICIO,KR75#51A-21 PORTAL DE NORMANDIA Bogota Colombia,4.6769266,-74.10874439999999
ENGATIVÁ,EDIFICIO MULTIFAMILIAR,KR94#72A-60 TORRE ANDES Bogota Colombia,4.6914049,-74.06664769999999
ENGATIVÁ,EDIFICIO RESIDENCIAL,CL77A#77B-62 EDIFICIO PRADOS DE LA GRANJA Bogota Colombia,4.6970977,-74.09610479999999
ENGATIVÁ,EDIFICIO MULTIFAMILIAR,CL55#73-31 EDIFICIO HABITAR 55 Bogota Colombia,4.7198985,-74.0441096
ENGATIVÁ,CONJUNTO RESIDENCIAL,CL116B#78B-51 CONJUNTO BRISAS DE GRANADA II Bogota Colombia,4.7240563,-74.1249752
ENGATIVÁ,EDIFICIO,CL68#68A-90  CALLE 68 Bogota Colombia,4.675374,-74.089077
ENGATIVÁ,EDIFICIO MULTIFAMILIAR,CL75B#87A-16 PARQUES DE FLORENCIA Bogota Colombia,4.7011175,-74.10468139999999
ENGATIVÁ,EDIFICIO RESIDENCIAL,KR75#54-29 CASMOR V Bogota Colombia,4.6766233,-74.1090808
ENGATIVÁ,EDIFICIO RESIDENCIAL,CL77A#77B-53EDvioleta776 edificio violeta 76 Bogota Colombia,4.7209338,-74.1260361
ENGATIVÁ,MULTIFAMILIAR,CL66A#95-28 MULTIFAMILIAR LOS ALAMOS Bogota Colombia,4.6951914,-74.11899269999999
ENGATIVÁ,EDIFICIO MULTIFAMILIAR,KR87#88-34EDSanFelipe EDIFICIO MULTIFAMILIAR SAN FELIPE - PROPIEDAD HORIZONTAL Bogota Colombia,4.615552999999999,-74.211957
ENGATIVÁ,EDIFICIO MULTIFAMILIAR,KR72Bis#74-60 Edificio Portal del Lago II Bogota Colombia,4.6947331,-74.0968937
ENGATIVÁ,EDIFICIO MULTIFAMILIAR,Kr 72 Bis # 74 - 24   SUNIL 2 Bogota Colombia,4.6900935,-74.0938559
ENGATIVÁ,CONJUNTO RESIDENCIAL,KR69H#80-40 LAS GALIAS PROPIEDAD HORIZONTAL Bogota Colombia,4.6823469,-74.0899769
ENGATIVÁ,EDIFICIO,KR71ABis#64-20  SOMBRAS DEL CEREZO Bogota Colombia,4.675514300000001,-74.1012633
ENGATIVÁ,EDIFICIO,AC62#74A-81 EDIFICIO BALCONES DE NORMANDIA BOQUES 5 Y 6 PROPIEDAD HORIZONTAL Bogota Colombia,4.555429,-74.1188446
ENGATIVÁ,AGRUPACIÓN DE VIVIENDA,CL54Bis#71C-28AP506 EDIFICIO KARINA Bogota Colombia,4.6719006,-74.105345
ENGATIVÁ,AGRUPACIÓN RESIDENCIAL,KR72Bis#81A-05 terranova club Bogota Colombia,4.6965695,-74.0882127
ENGATIVÁ,EDIFICIO,CL63A#70-86 EL TESORO Bogota Colombia,4.5346887,-74.1463836
ENGATIVÁ,CONJUNTO RESIDENCIAL,DG77B#119A-74 RINCON DE GRANADA ETAPA VI Bogota Colombia,4.7223959,-74.1291894
ENGATIVÁ,CONJUNTO RESIDENCIAL,KR99#64G-65 QUINTAS DE OCCIDENTE MANZANA 60 PH Bogota Colombia,4.6968309,-74.1219401
ENGATIVÁ,EDIFICIO,KR70#66B-11  WASICHAY Bogota Colombia,4.6784742,-74.09583479999999
ENGATIVÁ,EDIFICIO,KR73#75A-67 VILLA 2000 Bogota Colombia,4.6915869,-74.0928369
ENGATIVÁ,AGRUPACIÓN DE VIVIENDA,KR111C#81-10 4A LOS GUALANDAYES Bogota Colombia,4.7199216,-74.1167327
ENGATIVÁ,CONJUNTO RESIDENCIAL,TV85#54-19 ZONA E LOTE 8 URBANIZACION SANTA CECILIA Bogota Colombia,4.6768214,-74.10858
ENGATIVÁ,CONJUNTO RESIDENCIAL,CL81#114-25 PORTAL DE SAN ANGEL PH Bogota Colombia,4.723366899999999,-74.1198065
ENGATIVÁ,EDIFICIO DE VIVIENDA,AC26#70-46 CENTRICA Bogota Colombia,4.6643631,-74.10949769999999
ENGATIVÁ,CONJUNTO MULTIFAMILIAR,KR102#86A-46 COMPARTIR BOCHICA IV Bogota Colombia,4.7172803,-74.1087615
ENGATIVÁ,AGRUPACIÓN DE VIVIENDA,DG77#120A-68 CIUDADELA FLORIDA DE LA SABANA ETAPA 1 Bogota Colombia,4.7207761,-74.13291
ENGATIVÁ,CONJUNTO RESIDENCIAL,DG77B#123A-85 QUINTAS DE LA SABANA ETAPA 4 Bogota Colombia,4.7226845,-74.1333636
ENGATIVÁ,AGRUPACIÓN DE VIVIENDA,KR114A#78-21 NUEVA GRANADA Bogota Colombia,4.6023958,-74.194086
ENGATIVÁ,CONJUNTO RESIDENCIAL,TV120#77-21 BALCONES DE GRANADA III Bogota Colombia,4.6486655,-74.0564728
ENGATIVÁ,EDIFICIO,CL53A#72A-20 SIERRA HORIZONTE  Bogota Colombia,4.5456608,-74.1172463
ENGATIVÁ,CONJUNTO RESIDENCIAL,DG80#113-46 LOS FRAILEJONES PROPIEDAD HORIZONTAL Bogota Colombia,4.5103097,-74.1012392
ENGATIVÁ,CONJUNTO RESIDENCIAL,KR114#80-51 PORTAL DE SAN ANGEL VI TERCERA  ETA Bogota Colombia,4.723366899999999,-74.1198065
ENGATIVÁ,AGRUPACIÓN DE VIVIENDA,CL63B#71C-48 LA RELIQUIA Bogota Colombia,4.6751904,-74.1034658
ENGATIVÁ,CONJUNTO RESIDENCIAL,KR77B#72A-35 CONDADO DE TABORA Bogota Colombia,4.6921485,-74.09979059999999
ENGATIVÁ,EDIFICIO MULTIFAMILIAR,KR84#75-85 MARIA CAMILA PROPIEDAD HORIZONTAL Bogota Colombia,4.720376,-74.0836687
ENGATIVÁ,EDIFICIO,CL62Bis#70-71 NEPTUNO PH Bogota Colombia,4.5289897,-74.0855484
ENGATIVÁ,CONJUNTO RESIDENCIAL,CL82#112FBis-10 LOS ARCES AZULES Bogota Colombia,4.7219636,-74.1164769
ENGATIVÁ,URBANIZACIÓN,CL55#80-22 SANTA CECILIA SEGUNDA ETAPA ANILLO F 9 Bogota Colombia,4.614493299999999,-74.17465279999999
ENGATIVÁ,AGRUPACIÓN DE VIVIENDA,KR111C#88-05 LOS RAQUES Bogota Colombia,4.7246758,-74.1109841
ENGATIVÁ,CONJUNTO MULTIFAMILIAR,DG86A#101-40 COMPARTIR BOCHICA LOTE IV Bogota Colombia,4.7167088,-74.107423
ENGATIVÁ,EDIFICIO,DG82G#75-85 AREZZO IV Bogota Colombia,4.7034056,-74.0919588
ENGATIVÁ,MULTIFAMILIAR,DG82C#73A-80 TECTUM IX  Bogota Colombia,4.7025743,-74.0899484
ENGATIVÁ,CENTRO COMERCIAL,KR111C#86-05AD UNICENTRO DE OCCIDENTE Bogota Colombia,4.723366899999999,-74.11442699999999
ENGATIVÁ,EDIFICIO,AK72#53A-18 CERVANTES II Bogota Colombia,4.620195499999999,-74.1408787
ENGATIVÁ,CONJUNTO RESIDENCIAL,KR113A#78-43 PARQUES DE GRANADA Bogota Colombia,4.7208553,-74.1259742
ENGATIVÁ,AGRUPACIÓN DE VIVIENDA,KR68B#75A-17UD30 METROPOLIS UNIDAD 30 Bogota Colombia,4.681404199999999,-74.0840273
ENGATIVÁ,CONJUNTO MULTIFAMILIAR,KR90#81A-20 LOS CEREZOS Bogota Colombia,4.7108424,-74.0984779
ENGATIVÁ,CONJUNTO MULTIFAMILIAR,TV113F#64A-12 PANORAMA 64 Bogota Colombia,4.7103553,-74.1391321
ENGATIVÁ,EDIFICIO,CL64C#113C-45 PINARES DE ENGATIVA PH Bogota Colombia,4.7101879,-74.1385524
ENGATIVÁ,AGRUPACIÓN,KR112Bis#80A-16 3B BOCORE  Bogota Colombia,4.7202107,-74.11809459999999
ENGATIVÁ,EDIFICIO MULTIFAMILIAR,KR77A#75A-15 PORTAL DEL LAGO Bogota Colombia,4.6947331,-74.0968937
ENGATIVÁ,AGRUPACIÓN,CL78B#120A-56 ALTOS DE LA SABANA Bogota Colombia,4.722597599999999,-74.1330313
ENGATIVÁ,CONJUNTO RESIDENCIAL,KR123A#77B-86 ALAMEDA DE SAN DIEGO Bogota Colombia,4.7247332,-74.1335969
ENGATIVÁ,EDIFICIO,KR75#66-32 ARAWANA Bogota Colombia,4.6834618,-74.10276429999999
ENGATIVÁ,EDIFICIO,KR71D#64-44 PALO VERDE Bogota Colombia,4.6880084,-74.0936314
ENGATIVÁ,CONJUNTO RESIDENCIAL,CL78B#120-49 RESERVA DE GRANADA III Bogota Colombia,4.7239862,-74.1309662
ENGATIVÁ,CONJUNTO RESIDENCIAL,CL78B#120-87 RESERVA DE GRANADA IV Bogota Colombia,4.7242544,-74.13146309999999
ENGATIVÁ,AGRUPACIÓN,AC26#92-32 DE LOTES CONNECTA ECOSISTEMA DE NEGOCIOS  Bogota Colombia,4.6838574,-74.11979649999999
ENGATIVÁ,AGRUPACIÓN,AC26#92-32 DE LOTES CONNECTA II ECOSISTEMA DE NEGOCIOS  Bogota Colombia,4.6838574,-74.11979649999999
ENGATIVÁ,CONJUNTO RESIDENCIAL,CL53A#71C-19  COPROPIEDAD EDIFICIO NORMANDIA Bogota Colombia,4.671183399999999,-74.1056873
ENGATIVÁ,EDIFICIO,CL70#84-13 MARIA GLADYS Bogota Colombia,4.6925292,-74.1068427
ENGATIVÁ,PROYECTO,CL65A#72-44 MAGENTA APARTAMENTOS Bogota Colombia,4.6802277,-74.10060349999999
ENGATIVÁ,CONJUNTO RESIDENCIAL,KR116#77B-81 PORTAL DEGRANADA ETAPA 1 Bogota Colombia,4.721801,-74.1264923
ENGATIVÁ,CONJUNTO RESIDENCIAL,KR103A#78C-15 MOLINOS DEL VIENTO III ETAPA Bogota Colombia,4.7059769,-74.1182556
ENGATIVÁ,EDIFICIO,CL69A#97A-49 TIERRAGRATA 2 TORRE VI MANZANA 37   Bogota Colombia,4.6985699,-74.1180746
ENGATIVÁ,EDIFICIO,CL64A#104-32 CAROLINA Bogota Colombia,4.710988599999999,-74.072092
ENGATIVÁ,EDIFICIO,CL80#76-51 BOSQUES DE SAN VICENTE PROPIEDAD HORIZONTAL Bogota Colombia,4.6975585,-74.0938865
ENGATIVÁ,CONJUNTO RESIDENCIAL,CL66#70A-30 PARQUES DE SAN JOAQUIN Bogota Colombia,4.678331399999999,-74.09687439999999
ENGATIVÁ,EDIFICIO,CL71#86A-45 CARDUUS PH Bogota Colombia,4.6940339,-74.10717210000001
ENGATIVÁ,AGRUPACIÓN DE VIVIENDA,KR68B#76A-42 METROPOLIS UNIDAD 24 Bogota Colombia,4.6821648,-74.0826532
ENGATIVÁ,MULTIFAMILIAR,TV85#63F-17 LOS AZAFRANES MZ 61 Bogota Colombia,4.6821818,-74.11167069999999
ENGATIVÁ,AGRUPACIÓN,KR112F#80-59 7C LOS TAMARINDOS Bogota Colombia,4.7207386,-74.119438
ENGATIVÁ,EDIFICIO,DG87Bis#79A-61 AREZZO PARIS Bogota Colombia,4.710988599999999,-74.072092
ENGATIVÁ,AGRUPACIÓN DE VIVIENDA,KR58B#78-29 METROPOLIS UNIDAD 34 Bogota Colombia,4.6829728,-74.0823703
ENGATIVÁ,AGRUPACIÓN,KR102#83-60 MANZANA 18 LOTE 1 BOCHICA IV Bogota Colombia,4.710988599999999,-74.072092
ENGATIVÁ,CONJUNTO RESIDENCIAL,KR105A#70D-91 EL PARQUE DEL VIRREY Bogota Colombia,4.6732479,-74.05405739999999
ENGATIVÁ,EDIFICIO,KR69#44-35 CENTRO EMPRESARIAL PARALELO 26 Bogota Colombia,4.6835397,-74.0858186
ENGATIVÁ,CONJUNTO RESIDENCIAL,AK72#70-92 ACAPULCO SEGUNDA ETAPA PROPIEDAD HORIZONTAL Bogota Colombia,4.710988599999999,-74.072092
ENGATIVÁ,CONJUNTO RESIDENCIAL,KR108#82-50 BOLIVIA VII Bogota Colombia,4.7163012,-74.1161435
ENGATIVÁ,CONJUNTO RESIDENCIAL,CL82#103C-58 BOLIVIA X Bogota Colombia,4.7159894,-74.1155541
ENGATIVÁ,EDIFICIO,KR70B#64D-35 MADEIROS Bogota Colombia,4.6753767,-74.0985474
ENGATIVÁ,CONJUNTO RESIDENCIAL,KR116B#74A-40 MONTECARLO IV Bogota Colombia,4.719208399999999,-74.128405
ENGATIVÁ,AGRUPACIÓN DE VIVIENDA,KR85L#63B-42 PORTALES DE VILLA LUZ II PH Bogota Colombia,4.6845865,-74.1122951
ENGATIVÁ,CENTRO EMPRESARIAL,AK70#65-71 Y DE NEGOCIOS EL PORTON DE LA ESTRADA Bogota Colombia,4.6775825,-74.0962624
ENGATIVÁ,UNIDAD RESIDENCIAL,CL55#78-73UD11 SANTA CECILIA ZONA F ANILLO 11 Bogota Colombia,4.7338954,-74.0138541
ENGATIVÁ,EDIFICIO,CL69A#96-25 TIERRAGRATA 2 TORRE 1 MANZANA 41 PH Bogota Colombia,4.710988599999999,-74.072092
ENGATIVÁ,CONJUNTO MULTIFAMILIAR,KR113A#78C-94 BOSQUES DE GRANADA Bogota Colombia,4.7203097,-74.12179139999999
ENGATIVÁ,CONJUNTO RESIDENCIAL,CL77B#116C-73 RINCON DE GRANADA 5 SUPERLOTE 5 Bogota Colombia,4.7220601,-74.1299745
ENGATIVÁ,CONJUNTO RESIDENCIAL,KR117A#69A-51 BALCONES DE ENGATIVA Bogota Colombia,4.7145483,-74.13650630000001
ENGATIVÁ,AGRUPACIÓN DE VIVIENDA,KR112F#81-75 5 A LOS ARRAYANES Bogota Colombia,4.710988599999999,-74.072092
ENGATIVÁ,AGRUPACIÓN DE VIVIENDA,CL83A#116A-85 Quintas de Santa Barbara EtapaVII 2 Bogota Colombia,4.7297017,-74.1194921
ENGATIVÁ,CONJUNTO RESIDENCIAL,CL70ABis#121A-30 MIRADOR DEL JABOQUE Bogota Colombia,4.7175047,-74.13661669999999
ENGATIVÁ,CONJUNTO RESIDENCIAL,KR116#77B-42 PARQUES DE GRANADA PH Bogota Colombia,4.710988599999999,-74.072092
ENGATIVÁ,CONJUNTO RESIDENCIAL,CL72F#114-51 MONTECARLO II Bogota Colombia,4.716318999999999,-74.128967
ENGATIVÁ,AGRUPACIÓN DE VIVIENDA,KR111A#88B-51 LOS ROBLES PH Bogota Colombia,4.5792202,-74.1610626
ENGATIVÁ,CONJUNTO RESIDENCIAL,CL71B#100-11 SECTOR 2 ETAPA V SUBETAPA 1 PEDREGAL RESERVADO PROPIEDAD Bogota Colombia,4.7007039,-74.1159211
ENGATIVÁ,EDIFICIO,KR68C#77-43 MPH METRO Bogota Colombia,4.6833921,-74.0828145
ENGATIVÁ,CONJUNTO RESIDENCIAL,CL64#112B-47 BONAIRE Bogota Colombia,4.710988599999999,-74.072092
ENGATIVÁ,AGRUPACIÓN DE VIVIENDA,CL80A#111C-35 DOS A LOS SAUCES Bogota Colombia,4.5971955,-74.1159211
ENGATIVÁ,CONJUNTO RESIDENCIAL,AC26#78-20 CANTABRIA Bogota Colombia,4.673172,-74.11472239999999
ENGATIVÁ,CONJUNTO RESIDENCIAL,KR116B#80-51 PARQUES DEL CORTIJO PH Bogota Colombia,4.7251135,-74.1228797
ENGATIVÁ,CONJUNTO RESIDENCIAL,KR103D#83-35 BOLIVIA ORIENTAL II ETAPA MANZANA F Bogota Colombia,4.700752,-74.03907290000001
ENGATIVÁ,AGRUPACIÓN DE VIVIENDA,KR111C#80-20 LOS MIRTOS Bogota Colombia,4.7185203,-74.1182103
ENGATIVÁ,EDIFICIO,KR72Bis#74-31 MARRUECOS Bogota Colombia,4.690218,-74.093929
ENGATIVÁ,CONJUNTO RESIDENCIAL,CL75#110A-39  I EL MORTINO Bogota Colombia,4.71336,-74.123812
ENGATIVÁ,CONJUNTO RESIDENCIAL,CL78B#116-80 ALTOS DE GRANADA Bogota Colombia,4.7228612,-74.1257349
ENGATIVÁ,EDIFICIO,CL77A#77B-62 PRADOS DE LA GRANJA Bogota Colombia,4.6970977,-74.09610479999999
ENGATIVÁ,CONJUNTO RESIDENCIAL,KR112F#72C-03 MIRADOR DE LOS CEREZOS ETAPA 2 Bogota Colombia,4.7153071,-74.1289738
ENGATIVÁ,EDIFICIO,DG85#76-21 MANGANE PROPIEDAD HORIZONTAL Bogota Colombia,4.7063505,-74.0926941
ENGATIVÁ,CONJUNTO RESIDENCIAL,KR103D#83-82 BOLIVIA XV Bogota Colombia,4.7186837,-74.11041039999999
ENGATIVÁ,AGRUPACIÓN DE VIVIENDA,CL83A#116-72 QUINTAS DE SANTA BARBARA V ETAPA Bogota Colombia,4.7272561,-74.11964890000002
ENGATIVÁ,CONJUNTO RESIDENCIAL,KR87#71-22 ANDES II Bogota Colombia,4.710988599999999,-74.072092
ENGATIVÁ,CONJUNTO RESIDENCIAL,CL77B#119-40 RESERVA DE GRANADA I Bogota Colombia,4.722657799999999,-74.1311801
ENGATIVÁ,EDIFICIO,KR84#77A-40 EKA Bogota Colombia,4.7006188,-74.100692
ENGATIVÁ,CONJUNTO RESIDENCIAL,KR70B#64B-24 BANZAI Bogota Colombia,4.674500699999999,-74.09910099999999
ENGATIVÁ,CONJUNTO RESIDENCIAL,CL74A#114A-30 MONTECARLO V Bogota Colombia,4.7179612,-74.1279119
ENGATIVÁ,CONJUNTO RESIDENCIAL,CL77A#73-36 PORTAL DEL LAGO Bogota Colombia,4.6729457,-74.0714003
ENGATIVÁ,AGRUPACIÓN,CL83#95D-04 DE COPORPIETARIOS DE LAS ZONAS A Y B DEL CONJUNO RESIDENCIAL BOCHICA I  Bogota Colombia,4.7113204,-74.1046345
ENGATIVÁ,CONJUNTO RESIDENCIAL,CL72A#91A-37 LA GRAN MANZANA Bogota Colombia,4.7369137,-74.02307979999999
ENGATIVÁ,CONJUNTO RESIDENCIAL,KR116B#72F-70 MONTECARLO VI Bogota Colombia,4.7178054,-74.12925729999999
ENGATIVÁ,AGRUPACIÓN,CL86A#102-80 BOCHICA MANZANA XV  III ETAPA  BOCHICA IV Bogota Colombia,4.7172803,-74.1087615
ENGATIVÁ,CONJUNTO RESIDENCIAL,KR119#77-50 RINCON DE GRANADA ETAPA 7  Bogota Colombia,4.649677,-74.0567585
ENGATIVÁ,CONJUNTO MULTIFAMILIAR,KR117#89A-25 LOS MANZANOS Bogota Colombia,4.731119899999999,-74.11675009999999
ENGATIVÁ,CONJUNTO RESIDENCIAL,TV71Bis#75A-07 CAMINO DE BONANZA Bogota Colombia,4.6900211,-74.0902364
ENGATIVÁ,CONJUNTO RESIDENCIAL,KR86#75A-85AD FLORENCIA CALLE 76 PH Bogota Colombia,4.710988599999999,-74.072092
ENGATIVÁ,AGRUPACIÓN DE VIVIENDA,CL86#114-76 LOS AGAPANTOS MANZANA 31 AGRUPACION 1 SECTOR IV CIUDADELA COLSUBSIDIO Bogota Colombia,4.721572699999999,-74.1163706
ENGATIVÁ,CONJUNTO RESIDENCIAL,KR78A#80-93 AFIDRO LA PALESTINA Bogota Colombia,4.7014352,-74.0970114
ENGATIVÁ,CONJUNTO MULTIFAMILIAR,DG81I#74B-20 EL MINUTO DE DIOS NUMERO 1 Bogota Colombia,4.701064199999999,-74.09112929999999
ENGATIVÁ,CONJUNTO RESIDENCIAL,KR116#77B-35 PORTAL DE GRANADA V SUPER LOTE 5 PH Bogota Colombia,4.710988599999999,-74.072092
ENGATIVÁ,EDIFICIO,KR70#49-87 NORMANDIA 1 REAL  Bogota Colombia,4.670975600000001,-74.1024384
ENGATIVÁ,EDIFICIO,CL52A#80A-04 LOS MONJES Bogota Colombia,4.6790766,-74.11484
ENGATIVÁ,CONJUNTO RESIDENCIAL,KR101#83-90 MULTICENTRO BOCHICA IV MANZANA 19 Bogota Colombia,4.7019932,-74.0373564
ENGATIVÁ,AGRUPACIÓN DE VIVIENDA,CL83A#114-99 QUINTAS DE SANTA BARBARA I ETAPA Bogota Colombia,4.729849499999999,-74.1195571
ENGATIVÁ,CONJUNTO,KR85#88-16 DOÃA ALICIA Bogota Colombia,,
ENGATIVÁ,EDIFICIO,CL77#89A-20 PARIS Bogota Colombia,4.710988599999999,-74.072092
ENGATIVÁ,EDIFICIO,AC26#73-22 ORQUIDEA PH Bogota Colombia,4.6640072,-74.1103916
ENGATIVÁ,EDIFICIO MULTIFAMILIAR,KR85F#55-34 SUNIL Bogota Colombia,4.6802778,-74.1136519
ENGATIVÁ,CONJUNTO RESIDENCIAL,KR86#77-35 PORTALES DE SAN ANTONIO Bogota Colombia,4.701264999999999,-74.10292439999999
ENGATIVÁ,CONJUNTO RESIDENCIAL,KR111B#67-80 LA FIORITA Bogota Colombia,4.7046945,-74.1309996
ENGATIVÁ,CONJUNTO,KR74A#63-92 PARQUE RESIDENCIAL RESERVA DE NORMANDIA Bogota Colombia,4.6778769,-74.1058597
ENGATIVÁ,CENTRO COMERCIAL,AC72#70-43 PUERTO LIBRE 68 Bogota Colombia,4.6842966,-74.0922094
