Localidad,Tipo de propiedad,Direccion,latitud,longitud
ANTONIO NARIÑO,CONJUNTO RESIDENCIAL,KR24H#13-02SUR SANTA MARIA DEL RESTREPO Bogota Colombia,4.5919617,-74.1025435
ANTONIO NARIÑO,EDIFICIO,KR27#22-47SUR  MONTIERI Bogota Colombia,4.710988599999999,-74.072092
ANTONIO NARIÑO,EDIFICIO,CL10SUR#15-18 JANS 3 Bogota Colombia,4.5905932,-74.0988535
ANTONIO NARIÑO,AGRUPACIÓN MULTIFAMILIAR,CL13SUR#24H-44 AGRUPACION DE VIVIENDA BOSUQES DEL RESTREPO I Y II SECTOR PROPIEDAD HORIZONTAL Bogota Colombia,4.5930173,-74.1028868
ANTONIO NARIÑO,AGRUPACIÓN MULTIFAMILIAR,CL13SUR#24H-44 AGRUPACION DE VIVIENDA BOSQUES DEL RESTREPO I Y II SECTOR PROPIEDAD HORIZONTAL Bogota Colombia,4.5930173,-74.1028868
ANTONIO NARIÑO,EDIFICIO,KR11A#5-30SUR CESTILLO Bogota Colombia,4.5826959,-74.1125628
ANTONIO NARIÑO,CONJUNTO RESIDENCIAL,CL38BisSUR#34F-03 CONJUNTORESIDENCIAL LAS VILLAS PROPIEDAD HORIZONTAL Bogota Colombia,4.593069,-74.1224019
ANTONIO NARIÑO,CENTRO,CL38ASUR#34D-51 MAYOR CENTRO COMERCIAL  Bogota Colombia,4.5925638,-74.1245465
ANTONIO NARIÑO,CONJUNTO RESIDENCIAL,KR29#31B-23SUR CONJUNTO RESIDENCIAL EDUARDO FREI Bogota Colombia,4.5894635,-74.1160771
ANTONIO NARIÑO,AGRUPACIÓN DE VIVIENDA,KR14A#11-14SUR AGRUPACION DE VIVIENDA LUNA PARK - AVILUPARK Bogota Colombia,4.5860202,-74.0954611
ANTONIO NARIÑO,CONJUNTO MULTIFAMILIAR,KR24A#18-43SUR ALFONSO LOPEZ PUMAREJO SEGUNDA ETAPA  Bogota Colombia,4.5840039,-74.1138631
ANTONIO NARIÑO,EDIFICIO RESIDENCIAL,KR24GSUR#16-15 CASA RESTREPO Bogota Colombia,4.58993,-74.1025219
ANTONIO NARIÑO,APARTAMENTOS,TV12SUR#16-49 LA AURORA Bogota Colombia,4.5226286,-74.12179379999999
ANTONIO NARIÑO,APARTAMENTOS,CL15SUR#15-11 EDIFICIO CARMA PH Bogota Colombia,4.584671999999999,-74.0980241
ANTONIO NARIÑO,EDIFICIO RESIDENCIAL,KR34FSUR#39B-25SUR ARBOLEDA DEL REY ETAPAS I II III Y IV PH Bogota Colombia,4.592814199999999,-74.126374
ANTONIO NARIÑO,EDIFICIO,CL14#10-80SUR EDIFICIO RINCON DE CIUDAD JARDIN Bogota Colombia,4.5808392,-74.09275099999999
ANTONIO NARIÑO,EDIFICIO, KR11#15-43  SUR EL CARRIZAL Bogota Colombia,4.580299,-74.0938896
ANTONIO NARIÑO,EDIFICIO,CL29ASUR#29-03 ALTOS 29 Bogota Colombia,4.5896764,-74.1143579
ANTONIO NARIÑO,AGRUPACIÓN DE VIVIENDA MULTIFAMILIAR,AK10#5-29SUR EDIFICIO LA FLORA  Bogota Colombia,4.5182397,-74.0924285
ANTONIO NARIÑO,CONJUNTO RESIDENCIAL,CL13S#24D-86 CAMPIÃ±A DEL RESTREPO Bogota Colombia,4.5905944,-74.1020307
ANTONIO NARIÑO,EDIFICIO,KR27#16-26SUR TOBON Bogota Colombia,4.5978061,-74.100719
ANTONIO NARIÑO,CONJUNTO RESIDENCIAL,CL12SUR#24C-30 RECODO DEL RESTREPO Bogota Colombia,4.5927502,-74.10263189999999
