DESC. CIIU1,Direccion,latitud,longitud
Alojamiento En Hoteles,CALLE 55 # 21 - 42 Bucaramanga SANTANDER Colombia,7.109510999999999,-73.11625099999999
Alojamiento En Hoteles,CL. 31 NO. 19-39 BARRIO CENTRO Bucaramanga SANTANDER Colombia,7.122932,-73.12408719999999
Alojamiento En Hoteles,CARRERA 18 # 54 - 71 BARRIO LA CONCORDIA Bucaramanga SANTANDER Colombia,7.109367,-73.117543
Alojamiento En Hoteles,CARRERA 17 # 55 - 33 Bucaramanga SANTANDER Colombia,7.108038499999999,-73.11967779999999
Alojamiento En Hoteles,CARRERA 23 # 101 - 06 BARRIO PROVENZA Bucaramanga SANTANDER Colombia,7.087346200000001,-73.1135998
Alojamiento En Hoteles,CARRERA 19 # 30 - 44 BARRIO CENTRO Bucaramanga SANTANDER Colombia,7.122904399999999,-73.1246618
Alojamiento En Hoteles,CARRERA 20 # 31-43 Bucaramanga SANTANDER Colombia,7.1225543,-73.1234841
Alojamiento En Hoteles,CARRERA 18 # 22 - 35 BARRIO ALARCON Bucaramanga SANTANDER Colombia,7.126066,-73.12659300000001
Alojamiento En Hoteles,CARRERA 17 # 55 - 41 BARRIO RICAURTE Bucaramanga SANTANDER Colombia,7.107793,-73.119694
Alojamiento En Hoteles,CALLE 31 # 20 - 32 BARRIO ANTONIA SANTOS CENRO Bucaramanga SANTANDER Colombia,7.1230258,-73.1233032
Alojamiento En Hoteles,CALLE 34 NO. 18-44 Bucaramanga SANTANDER Colombia,7.1203124,-73.1241869
Alojamiento En Hoteles,CALLE 31 # 20 - 29 BARRIO CENTRO Bucaramanga SANTANDER Colombia,7.123089,-73.12344399999999
Alojamiento En Hoteles,CARRERA 24 # 15 - 55 BARRIO SAN FRANCISCO Bucaramanga SANTANDER Colombia,7.132841,-73.122672
Alojamiento En Hoteles,CALLE 34 # 32 - 34 BARRIO MEJORAS PUBLICAS Bucaramanga SANTANDER Colombia,7.124929099999999,-73.113295
Alojamiento En Hoteles,CARRERA 21 # 30 - 55 BARRIO ANTONIA SANTOS Bucaramanga SANTANDER Colombia,7.1235782,-73.1230309
Alojamiento En Hoteles,CALLE 34 # 32 - 80 - 88 Bucaramanga SANTANDER Colombia,7.125185999999999,-73.112957
Alojamiento En Hoteles,CALLE 55 # 17 A - 36 BARRIO RICAURTE Bucaramanga SANTANDER Colombia,7.1085191,-73.1190586
Alojamiento En Hoteles,DIAGONAL 15 # 58 - 40 CALLE 58 A # 17 F - 57 BARRIO Bucaramanga SANTANDER Colombia,7.1077417,-73.11630819999999
Alojamiento En Hoteles,TRANSVERSAL 93 # 34 - 180 BARRIO EL TEJAR Bucaramanga SANTANDER Colombia,7.0995021,-73.1072987
Alojamiento En Hoteles,CARRERA 22 # 54 - 100 Bucaramanga SANTANDER Colombia,7.109819399999999,-73.11610569999999
Alojamiento En Hoteles,CARRERA 18 # 28 - 54 BARRIO ALARCON Bucaramanga SANTANDER Colombia,7.12384,-73.125976
Alojamiento En Hoteles,CARRERA 21 # 31 - 41 Bucaramanga SANTANDER Colombia,7.1229125,-73.1227969
Alojamiento En Hoteles,CALLE 56 # 17 A - 21 BARRIO LA CONCORDIA Bucaramanga SANTANDER Colombia,7.107858999999999,-73.119029
Alojamiento En Hoteles,CARRERA 16 # 31 - 33 Bucaramanga SANTANDER Colombia,7.121167,-73.1268161
