DESC. CIIU1;Direccion
Alojamiento En Hoteles;CARRERA 24 # 15 - 55 BARRIO SAN FRANCISCO Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 34 # 32 - 34 BARRIO MEJORAS PUBLICAS Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CARRERA 21 # 30 - 55 BARRIO ANTONIA SANTOS Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 34 # 32 - 80 - 88 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 55 # 17 A - 36 BARRIO RICAURTE Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;DIAGONAL 15 # 58 - 40 CALLE 58 A # 17 F - 57 BARRIO Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;TRANSVERSAL 93 # 34 - 180 BARRIO EL TEJAR Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CARRERA 22 # 54 - 100 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CARRERA 18 # 28 - 54 BARRIO ALARCON Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CARRERA 21 # 31 - 41 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 56 # 17 A - 21 BARRIO LA CONCORDIA Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CARRERA 16 # 31 - 33 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 32 # 21 - 35 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;AV. QUEBRADA SECA NO. 20-18 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 55 # 17 A - 52 BARRIO BARRIO RICAURTE Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;VIA PALENQUE CAFE MADRID # 44 - 96 BODEGA 1 BARRIO CHIMITA Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 48 # 27 - 44 BARRIO NUEVO SOTOMAYOR Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CARRERA 32 # 34 - 25 BARRIO LA AURORA Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CARRERA 17 B # 54 - 30 BARRIO RICAURTE Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 24 # 17 - 43 BARRIO ALARCON Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CR 38   48   66  CABECERA Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CARRERA 18 # 31 - 40 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 33 # 30 - 26 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CL 29 15 79 BRR GRANADAS Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 30 # 21 - 17 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CARRERA 17 A # 53 - 78 Bucaramanga SANTANDER Colombia
