DESC. CIIU1;Direccion
Actividades De Otros Servicios De Comidas;CARRERA 33 W # 71 - 61 LOTE 39 # 71 - 79 LOTE 40 URBANIZACIÓN PROVINCIA DE SOTO Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 34 # 48 - 53 PISO 2 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 15 # 31 - 21 BARRIO CENTRO Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;TRANSVERSAL 65 # 1 - 46 LOTE METROPOLITANO DE EVENTOS Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;DIAGONAL 15 # 45 - 52 UNIDAD3 EDIFICIO SARMIENTO PISO 1 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CALLE 31 # 14 OCCIDENTE - 162 BARRIO DON BOSCO Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CALLE 54 # 18 - 02 BARRIO LA CONCORDIA Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CALLE 32 # 14 - 35 - 39 PISO 2 BARRIO CENTRO Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 15 # 45 - 96 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 16 # 33 - 38 - 48 LOCAL 36 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CALLE 13 # 22 - 45 LOCAL 9 BARRIO MUTUALIDAD Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 17C # 56 - 72 BARRIO RICAURTE Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CALLE 105 # 16 - 69 BARRIO EL ROCIO Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;VEREDA PORVENIR KILOMETRO 4 VIA MATANZA Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CALLE 12 A # 23 - 17 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 16 # 31 - 30 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CRA 8 NO 9N- 155 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CL 33 NO. 31 - 25 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CALLE 33 # 32 - 06 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 17 A # 28 - 05 BARRIO ALARCON Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 16 # 41 - 50 BARRIO CENTRO Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CALLE 26 # 12 - 05 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CALLE 21 # 17 - 62 BARRIO SAN FRANCISCO Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CL  22   12   02 BRR GIRARDOT Bucaramanga SANTANDER Colombia
Actividades De Otros Servicios De Comidas;CALLE 111 # 21 B - 34 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 33 A # 32 - PUESTO 6 PLAZA DE MERCADO GUARIN Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 17 # 24 - 21 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 15 # 31 - 18 INTERIOR 101 BARRIO CENTRO Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CALLE 35 # 30 - 15 BARRIO MEJORAS PUBLICAS Bucaramanga SANTANDER Colombia
Actividades De Otros Servicios De Comidas;CALLE 58 # 4 - 04 BARRIO LOS NARANJOS Bucaramanga SANTANDER Colombia
Actividades De Otros Servicios De Comidas;CARRERA 44 # 65 - 66 TORRE A APARTAMENTO 502 EDIFICIO MONTANA Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CALLE 16 A # 8 - 41 BARRIO GAITAN Bucaramanga SANTANDER Colombia
Actividades De Otros Servicios De Comidas;CL 54   35 A   33 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 2 A # 65 - 78 LOTE METROPOLITANO Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;DG 105   29   09 BRR ASTURIAS II Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CALLE 48 # 35 - 34 LOCAL 1 Bucaramanga SANTANDER Colombia
Actividades De Otros Servicios De Comidas;CALLE 45 # 8 W - 13 BARRIO CAMPO HERMOSO Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CR 53   13   20 BRR LA MALAÑA Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 11 # 61 N - 05 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;KILOMETRO 3 VIA MATANZA Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CR 25   11   24 LC BRR MUTUALIDAD Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 33 # 35 - 04 BARRIO MEJORAS PUBLICAS Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 34 # 37 - 33 APARTAMENTO 206 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CALLE 33 # 31 - 48 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CR 14   19   36 BRR GAITAN Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CR 31   33   32 BRR MEJORAS PUBLICAS Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 10 # 25 - 62 BARRIO GIRARDOT Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CALLE 53 # DIAGONAL 15 - 17 BARRIO LA CONCORDIA Bucaramanga SANTANDER Colombia
Actividades De Otros Servicios De Comidas;CARRERA 23 # 20 - 05 BARRIO SAN FRANCISCO Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CL 31   21   69 BRR ANTONIA SANTOS Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CR 33   37   39 BRR EL PRADO Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CALLE 36 # 25 - 53 - 51 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;AVENIDA QUEBRADA SECA # 16 - 72 BARRIO CENTRO Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CALLE 64 B CASA 81 BARRIO CIUDAD BOLIVAR Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 25 # 105 - 18 BARRIO PROVENZA Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 14 # 1 A - 04 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CALLE 37 # 15 - 20 PISO 2 BARRIO CENTRO Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CL 33   15   34 LC 30  PLAZA CENTRAL Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 35 # 48 - 13 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CR 36 48 - 58 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 29 # 41 - 04 BARRIO MEJORAS PUBLICAS Bucaramanga SANTANDER Colombia
Actividades De Otros Servicios De Comidas;CARRERA 30 # 32 - 55 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;DIAG. 105 NO. 105 - 16 DIAMANTE I Bucaramanga SANTANDER Colombia
Actividades De Otros Servicios De Comidas;CARRERA 16 # 51 A - 05 LOCAL 4 BARRIO SAN MIGUEL Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CR 12 NO. 29-33 B. GARCIA ROVIRA Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 12 # 14 N - 114 - 122 BARRIO KENNEDY Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 27 # 63 - 07 PISO 1 Bucaramanga SANTANDER Colombia
Actividades De Otros Servicios De Comidas;CARRERA 21 # 34 - 46 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CR 22   111   19 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CR 4 A KM 4 VIA LA CEMENTO BRR CAFE MADRID CA 4 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 35 # 48 - 29 BARRIO CABECERA DEL LLANO Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 31 # 33 - 49 - 53 BARRIO MEJORAS PUBLICAS Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 35 # 48 - 55 BARRIO CABECERA Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 2 W - 58 - 37 BARRIO MUTIS Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;DIAGONAL 15 # 45 - 230 LOCAL 12 EXTERIOR CENTRO COMERCIAL LA ROSITA Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 17 C # 56 - 41 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CR 16   17   75 Bucaramanga SANTANDER Colombia
Actividades De Otros Servicios De Comidas;CARRERA 33 W # 71 - 61 BARRIO PROVINCIA DE SOTO I BODEGA 39 - 40 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CALLE 28 # 1 - 40 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CL 52   34   36 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CL 28   15   73 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CR 10   44   06  BRR GARCIA ROVIRA Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CR 31   33   18 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 18 # 23 - 18 Bucaramanga SANTANDER Colombia
Actividades De Otros Servicios De Comidas;CARRERA 26 # 48 - 69 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CR 27   10   14 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 18 # 51 - 195 BARRIO LA CONCORDIA Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CRA 27 NO. 13 - 06 BARRIO UNIVERSIDAD Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 31 # 33 - 94 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CALLE 26 # 12 - 75 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CL 59   18     95 Bucaramanga SANTANDER Colombia
Actividades De Otros Servicios De Comidas;CR 23   20   73 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 1 # 140 BARRIO REGADERO Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 16 # 33 - 24 CENTRO METROPOLITANO DE MERCADEO LOCAL 35 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 31 # 33 - 28 BARRIO LA AURORA Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 34 # 48 - 87 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CALLE 45 # 17 - 06 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 31 # 33 - 05 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CL 34   11   19 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 20 F # 40 N - 17 BARRIO PORTAL DE LOS ANGELES Bucaramanga SANTANDER Colombia
Actividades De Otros Servicios De Comidas;CARRERA 28 A # 67 - 55 BARRIO LA SALLE Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 21 # 20 - 78 BARRIO ALARCON Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 27 # 10 - 04 BARRIO UNIVERSIDAD Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CL 102   6   76 BRR EL PORVENIR Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 17 # 59 - 12 BARRIO RICAURTE Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 29 # 47 - 82 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CR 33   34   54 BRR EL PRADO Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CL 48   33   24 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;VIA CAFE MADRID LA CEMENTO BRR CAFE MADRID Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 35 # 48 - 56 LOCAL 1 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 33 # 35 - 02 BARRIO EL PRADO Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CALLE 26 # 11 - 05 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CALLE 12 # 21 - 51 BARRIO SAN FRANCISCO Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CALLE 34 # 32 - 09 BARRIO LA AURORA Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CALLE 55 # 17 - 39 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CR 8 A   35 A N   02 BRR CAFE MADRID Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CR 35   51   128 Bucaramanga SANTANDER Colombia
Actividades De Otros Servicios De Comidas;CALLE 62 # 2 A W - 46 BARRIO MUTIS Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CALLE 7 # 21 - 75 BARRIO COMUNEROS Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 13 # 28 - 15 BARRIO GIRARDOT Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CR 21   13   71 BRR SAN FRANCISCO Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 13 # 20 - 13 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 17 # 52 - 34 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 31 # 33 - 25 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CL 31   11   08 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;KILOMETRO 2 VIA CAFÉ MADRID Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 27 # 58 - 56 BARRIO PUERTA DEL SOL Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CALLE 52 # 34 - 27 CABECERA DEL LLANO Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CALLE 14 # 23 - 71 LOCAL Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CALLE 52 # 35 - 34 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CALLE 12 N # 20 - 05 MANZANA 18 BARRIO VILLA ROSA Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 15 # 104 E - 32 Bucaramanga SANTANDER Colombia
Actividades De Otros Servicios De Comidas;CR 33 A   29   15 LC 243 CC MEGAMALL Bucaramanga SANTANDER Colombia
